@relation ecoli1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   

@data
0.06,0.61,0.48,0.5,0.49,0.92,0.37,positive
0.44,0.52,0.48,0.5,0.43,0.47,0.54,positive
0.63,0.47,0.48,0.5,0.51,0.82,0.84,positive
0.23,0.48,0.48,0.5,0.59,0.88,0.89,positive
0.34,0.49,0.48,0.5,0.58,0.85,0.8,positive
0.43,0.4,0.48,0.5,0.58,0.75,0.78,positive
0.46,0.61,0.48,0.5,0.48,0.86,0.87,positive
0.27,0.35,0.48,0.5,0.51,0.77,0.79,positive
0.52,0.39,0.48,0.5,0.65,0.71,0.73,positive
0.29,0.47,0.48,0.5,0.71,0.65,0.69,positive
0.55,0.47,0.48,0.5,0.57,0.78,0.8,positive
0.12,0.67,0.48,0.5,0.74,0.58,0.63,positive
0.4,0.5,0.48,0.5,0.65,0.82,0.84,positive
0.73,0.36,0.48,0.5,0.53,0.91,0.92,positive
0.84,0.44,0.48,0.5,0.48,0.71,0.74,positive
0.48,0.45,0.48,0.5,0.6,0.78,0.8,positive
0.54,0.49,0.48,0.5,0.4,0.87,0.88,positive
0.48,0.41,0.48,0.5,0.51,0.9,0.88,positive
0.5,0.66,0.48,0.5,0.31,0.92,0.92,positive
0.72,0.46,0.48,0.5,0.51,0.66,0.7,positive
0.47,0.55,0.48,0.5,0.58,0.71,0.75,positive
0.33,0.56,0.48,0.5,0.33,0.78,0.8,positive
0.64,0.58,0.48,0.5,0.48,0.78,0.73,positive
0.54,0.57,0.48,0.5,0.56,0.81,0.83,positive
0.47,0.59,0.48,0.5,0.52,0.76,0.79,positive
0.63,0.5,0.48,0.5,0.59,0.85,0.86,positive
0.49,0.42,0.48,0.5,0.53,0.79,0.81,positive
0.31,0.5,0.48,0.5,0.57,0.84,0.85,positive
0.74,0.44,0.48,0.5,0.55,0.88,0.89,positive
0.33,0.45,0.48,0.5,0.45,0.88,0.89,positive
0.45,0.4,0.48,0.5,0.61,0.74,0.77,positive
0.71,0.4,0.48,0.5,0.71,0.7,0.74,positive
0.5,0.37,0.48,0.5,0.66,0.64,0.69,positive
0.66,0.53,0.48,0.5,0.59,0.66,0.66,positive
0.6,0.61,0.48,0.5,0.54,0.67,0.71,positive
0.83,0.37,0.48,0.5,0.61,0.71,0.74,positive
0.34,0.51,0.48,0.5,0.67,0.9,0.9,positive
0.63,0.54,0.48,0.5,0.65,0.79,0.81,positive
0.7,0.4,0.48,0.5,0.56,0.86,0.83,positive
0.6,0.5,1.0,0.5,0.54,0.77,0.8,positive
0.16,0.51,0.48,0.5,0.33,0.39,0.48,positive
0.74,0.7,0.48,0.5,0.66,0.65,0.69,positive
0.2,0.46,0.48,0.5,0.57,0.78,0.81,positive
0.89,0.55,0.48,0.5,0.51,0.72,0.76,positive
0.7,0.46,0.48,0.5,0.56,0.78,0.73,positive
0.12,0.43,0.48,0.5,0.63,0.7,0.74,positive
0.61,0.52,0.48,0.5,0.54,0.67,0.52,positive
0.33,0.37,0.48,0.5,0.46,0.65,0.69,positive
0.63,0.65,0.48,0.5,0.66,0.67,0.71,positive
0.41,0.51,0.48,0.5,0.53,0.75,0.78,positive
0.34,0.67,0.48,0.5,0.52,0.76,0.79,positive
0.58,0.34,0.48,0.5,0.56,0.87,0.81,positive
0.59,0.56,0.48,0.5,0.55,0.8,0.82,positive
0.51,0.4,0.48,0.5,0.57,0.62,0.67,positive
0.5,0.57,0.48,0.5,0.71,0.61,0.66,positive
0.6,0.46,0.48,0.5,0.45,0.81,0.83,positive
0.37,0.47,0.48,0.5,0.39,0.76,0.79,positive
0.58,0.55,0.48,0.5,0.57,0.7,0.74,positive
0.36,0.47,0.48,0.5,0.51,0.69,0.72,positive
0.39,0.41,0.48,0.5,0.52,0.72,0.75,positive
0.35,0.51,0.48,0.5,0.61,0.71,0.74,positive
0.31,0.44,0.48,0.5,0.5,0.79,0.82,positive
0.61,0.66,0.48,0.5,0.46,0.87,0.88,positive
0.48,0.49,0.48,0.5,0.52,0.77,0.71,positive
0.11,0.5,0.48,0.5,0.58,0.72,0.68,positive
0.31,0.36,0.48,0.5,0.58,0.94,0.94,positive
0.68,0.51,0.48,0.5,0.71,0.75,0.78,positive
0.69,0.39,0.48,0.5,0.57,0.76,0.79,positive
0.52,0.54,0.48,0.5,0.62,0.76,0.79,positive
0.46,0.59,0.48,0.5,0.36,0.76,0.23,positive
0.36,0.45,0.48,0.5,0.38,0.79,0.17,positive
0.0,0.51,0.48,0.5,0.35,0.67,0.44,positive
0.1,0.49,0.48,0.5,0.41,0.67,0.21,positive
0.3,0.51,0.48,0.5,0.42,0.61,0.34,positive
0.61,0.47,0.48,0.5,0.0,0.8,0.32,positive
0.63,0.75,0.48,0.5,0.64,0.73,0.66,positive
0.71,0.52,0.48,0.5,0.64,1.0,0.99,positive
0.74,0.78,0.48,0.5,0.75,0.54,0.14999999999999997,negative
0.37124999999999997,0.50375,0.48,0.5,0.42625,0.38875,0.455,negative
0.645,0.45,0.48,0.5,0.535,0.7483333333333333,0.7783333333333333,negative
0.42333333333333334,0.28833333333333333,0.48,0.5,0.48833333333333334,0.2616666666666667,0.365,negative
0.69,0.59,0.48,0.5,0.495,0.36,0.35,negative
0.6833333333333333,0.48,1.0,0.5,0.56,0.5666666666666667,0.31333333333333335,negative
0.725,0.725,0.48,0.5,0.355,0.535,0.455,negative
0.842857142857143,0.49714285714285716,0.48,0.5,0.5857142857142857,0.7842857142857143,0.7971428571428572,negative
0.6839999999999999,0.592,0.48,0.5,0.764,0.394,0.268,negative
0.30999999999999994,0.45555555555555555,0.48,0.5,0.42333333333333334,0.2022222222222222,0.3155555555555556,negative
0.243,0.31500000000000006,0.48,0.5,0.41700000000000004,0.27,0.374,negative
0.7,0.39,1.0,0.5,0.51,0.82,0.84,negative
0.6075,0.42,0.48,0.5,0.5125,0.34249999999999997,0.4275,negative
0.485,0.49,0.48,0.5,0.24500000000000002,0.195,0.30000000000000004,negative
0.6566666666666666,0.7033333333333333,0.48,0.5,0.6433333333333333,0.41333333333333333,0.3433333333333333,negative
0.31,0.22999999999999998,0.48,0.5,0.73,0.04999999999999999,0.14,negative
0.19,0.38428571428571434,0.48,0.5,0.5185714285714286,0.28714285714285714,0.38571428571428573,negative
0.265,0.365,0.48,0.5,0.5,0.42166666666666663,0.5016666666666667,negative
0.6933333333333334,0.78,0.48,0.5,0.24000000000000002,0.45333333333333337,0.2333333333333333,negative
0.4166666666666667,0.49,0.48,0.5,0.5466666666666666,0.17333333333333334,0.2866666666666666,negative
0.5700000000000001,0.47750000000000004,0.48,0.5,0.34750000000000003,0.355,0.4425,negative
0.6799999999999999,0.59,0.48,0.5,0.6166666666666667,0.5133333333333333,0.39,negative
0.78,0.545,0.48,0.5,0.505,0.72,0.71,negative
0.39,0.41,0.48,0.5,0.492,0.482,0.552,negative
