@relation ecoli3
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   

@data
0.87,0.49,0.48,0.5,0.61,0.76,0.79,positive
0.76,0.71,0.48,0.5,0.5,0.71,0.75,positive
0.76,0.41,0.48,0.5,0.5,0.59,0.62,positive
0.81,0.52,0.48,0.5,0.57,0.78,0.8,positive
0.78,0.44,0.48,0.5,0.45,0.73,0.68,positive
0.75,0.37,0.48,0.5,0.64,0.7,0.74,positive
0.59,0.29,0.48,0.5,0.64,0.75,0.77,positive
0.47,0.46,0.48,0.5,0.62,0.74,0.77,positive
0.66,0.48,0.48,0.5,0.54,0.7,0.74,positive
0.79,0.54,0.48,0.5,0.5,0.66,0.68,positive
0.83,0.48,0.48,0.5,0.65,0.76,0.79,positive
0.64,0.45,0.48,0.5,0.67,0.61,0.66,positive
0.49,0.61,1.0,0.5,0.56,0.71,0.74,positive
0.73,0.26,0.48,0.5,0.57,0.75,0.78,positive
0.63,0.51,0.48,0.5,0.64,0.72,0.76,positive
0.81,0.53,0.48,0.5,0.57,0.87,0.88,positive
0.62,0.42,0.48,0.5,0.58,0.79,0.81,positive
0.88,0.42,0.48,0.5,0.52,0.73,0.75,positive
0.86,0.55,0.48,0.5,0.63,0.81,0.83,positive
0.69,0.43,0.48,0.5,0.59,0.74,0.77,positive
0.72,0.42,0.48,0.5,0.65,0.77,0.79,positive
0.57,0.38,0.48,0.5,0.06,0.49,0.33,positive
0.77,0.55,0.48,0.5,0.51,0.78,0.74,positive
0.79,0.41,0.48,0.5,0.66,0.81,0.83,positive
0.64,0.46,0.48,0.5,0.48,0.73,0.76,positive
0.63,0.42,0.48,0.5,0.48,0.77,0.8,positive
0.58,0.6,0.48,0.5,0.59,0.73,0.76,positive
0.79,0.36,0.48,0.5,0.46,0.82,0.7,positive
0.84,0.49,0.48,0.5,0.55,0.78,0.74,positive
0.81,0.44,0.48,0.5,0.42,0.67,0.68,positive
0.78,0.33,0.48,0.5,0.57,0.77,0.79,positive
0.84,0.54,0.48,0.5,0.75,0.92,0.7,positive
0.7,0.53,0.48,0.5,0.7,0.86,0.87,positive
0.67,0.37,0.48,0.5,0.54,0.64,0.68,positive
0.86,0.39,0.48,0.5,0.59,0.89,0.9,positive
0.6733333333333333,0.48333333333333334,0.48,0.5,0.69,0.7466666666666666,0.7766666666666666,negative
0.43894736842105264,0.3436842105263158,0.48,0.5,0.46631578947368424,0.2947368421052632,0.3936842105263158,negative
0.6508333333333334,0.6575,0.48,0.5,0.4579166666666667,0.41333333333333333,0.3525,negative
0.16000000000000003,0.5175,0.48,0.5,0.665,0.6625,0.685,negative
0.3288888888888889,0.4922222222222222,0.48,0.5,0.47,0.355,0.435,negative
0.77,0.57,1.0,0.5,0.37,0.54,0.010000000000000009,negative
