@relation glass6
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}

@data
1.51613882,13.8821,1.77804,1.7890700000000002,73.0972,0.0,8.66876,0.75915,0.0,positive
1.51509094,15.15225,0.0,2.2513099999999997,73.5004,0.0,8.3352,0.63,0.0,positive
1.52247166,14.85965,2.2001,2.05871,70.258,0.75762,9.755519999999999,0.0,0.0,positive
1.51652608,11.94695,0.0,1.1888,75.1804,2.70135,8.927,0.0,0.0,positive
1.52064926,14.3609,0.0,2.02019,73.422,0.0,8.4428,1.64115,0.0,positive
1.51130946,13.68925,3.2013700000000003,1.8115400000000002,72.8116,1.7574299999999998,5.43,1.1907,0.0,positive
1.51556932,13.8688,0.0,2.5402099999999996,73.2316,0.14282999999999998,9.4112,0.80955,0.0051,positive
1.5163893999999998,14.36755,0.0,2.73923,72.8508,0.0,9.454239999999999,0.53865,0.0,positive
1.52315506,13.4432,3.34056,1.23053,72.3804,0.60237,8.830160000000001,0.0,0.0,positive
1.51545542,14.14145,0.0,2.68145,73.3884,0.08073,9.066880000000001,0.6111,0.0255,positive
1.5165033,14.38085,0.0,1.9399400000000002,73.6124,0.0,8.47508,1.5687,0.0,positive
1.51682222,14.5604,0.0,1.9784599999999999,73.2876,0.0,8.51812,1.5687,0.0357,positive
1.51645774,14.93945,0.0,1.86932,73.1084,0.0,8.66876,1.3797,0.0,positive
1.5171867,14.75325,0.0,2.00093,73.0188,0.0,8.528880000000001,1.59075,0.0408,positive
1.5161616000000002,14.95275,0.0,2.27057,73.2988,0.0,8.7118,0.67095,0.0,positive
1.51711836,14.2279,0.0,2.08118,73.3604,0.0,8.61496,1.6695,0.0,positive
1.52365622,15.79065,1.83192,1.3107799999999998,70.4316,0.3105,8.61496,1.67895,0.0,positive
1.5151364999999999,14.853,0.0,2.42144,73.7188,0.0,8.389,0.5607,0.0,positive
