@relation glass0
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}

@data
1.51588824,12.87795,3.43036,1.40066,73.282,0.6893100000000001,8.04468,0.0,0.1224,positive
1.5176423,12.9777,3.5381199999999997,1.21127,73.002,0.65205,8.528880000000001,0.0,0.0,positive
1.52212996,14.20795,3.82099,0.46976,71.77,0.11177999999999999,9.5726,0.0,0.0,positive
1.52222108,13.21045,3.7716,0.79076,71.9884,0.13041,10.2452,0.0,0.0,positive
1.51755118,13.39,3.65935,1.1888,72.7892,0.5713199999999999,8.27064,0.0,0.0561,positive
1.52099096,13.68925,3.592,1.1213899999999999,71.9604,0.08694,9.40044,0.0,0.0,positive
1.51755118,13.1506,3.60996,1.05077,73.2372,0.5713199999999999,8.23836,0.0,0.0,positive
1.51910022,13.90205,3.7311900000000002,1.17917,72.1228,0.0621,8.89472,0.0,0.0,positive
1.51793844,13.21045,3.47975,1.41029,72.638,0.58995,8.432039999999999,0.0,0.0,positive
1.51898632,13.58285,3.34954,1.23053,72.078,0.58995,8.90548,0.0,0.0,positive
1.51215232,12.991,3.47077,1.1213899999999999,72.9796,0.621,8.34596,0.0,0.1581,positive
1.51976084,13.80895,3.57853,1.32041,71.7196,0.11799000000000001,8.66876,0.68985,0.0,positive
1.51761952,13.88875,3.6009800000000003,1.35893,72.7276,0.47817,7.82948,0.0,0.0,positive
1.51784732,12.67845,3.66833,1.15991,73.1084,0.60858,8.701039999999999,0.0,0.0,positive
1.51720948,13.3767,3.5022,1.15028,72.8508,0.5030100000000001,8.432039999999999,0.0,0.0,positive
1.51746006,12.83805,3.5022,1.14065,73.2708,0.5589,8.5504,0.0,0.0,positive
1.52210718,13.72915,3.83895,0.72014,71.7588,0.16767,9.744760000000001,0.0,0.0,positive
1.51823458,12.8713,3.47975,1.29152,72.9516,0.60237,8.432039999999999,0.0,0.0,positive
1.51919134,14.417,3.57853,1.36856,72.078,0.5589,8.30292,0.0,0.0,positive
1.51761952,12.79815,3.65935,1.26905,73.0076,0.60237,8.561160000000001,0.0,0.0,positive
1.51750562,12.81145,3.56955,1.3493,73.0188,0.621,8.59344,0.0,0.0,positive
1.51782454,12.69175,3.5381199999999997,1.3396700000000001,72.9516,0.5713199999999999,8.75484,0.0,0.0,positive
1.51793844,12.7915,3.5022,1.1213899999999999,73.03,0.63963,8.7656,0.0,0.0,positive
1.51837126,13.1373,2.84217,1.2786799999999998,72.8508,0.55269,9.066880000000001,0.0,0.0,positive
1.5215149,13.05085,3.6503699999999997,0.8710100000000001,72.218,0.19251,9.852360000000001,0.0,0.0867,positive
1.51595658,12.7915,3.60996,1.61894,72.9684,0.63963,8.0662,0.0,0.1326,positive
1.51734616,13.0176,3.5381199999999997,1.68956,72.7276,0.54027,8.4428,0.0,0.0357,positive
1.5177562,12.85135,3.47975,1.23053,72.9684,0.60858,8.561160000000001,0.09135,0.1122,positive
1.51777898,13.21045,3.38995,1.33004,72.7612,0.58995,8.59344,0.0,0.0,positive
1.51755118,13.4831,3.7401699999999996,1.16954,72.9908,0.58995,8.03392,0.0,0.0,positive
1.5215149,13.05085,3.6503699999999997,0.8710100000000001,72.3188,0.19251,9.852360000000001,0.0,0.0867,positive
1.51743728,13.2969,3.6009800000000003,1.14065,73.0916,0.57753,8.1738,0.0,0.0,positive
1.515706,12.71835,3.46179,1.56116,73.19800000000001,0.67068,8.08772,0.0,0.1224,positive
1.51720948,12.8713,3.47975,1.33004,73.0412,0.5589,8.432039999999999,0.0,0.0,positive
1.51910022,13.88875,3.52914,1.32041,71.8092,0.50922,8.77636,0.11025,0.0,positive
1.51869018,13.1905,3.3719900000000003,1.17917,72.722,0.5713199999999999,8.830160000000001,0.0,0.0816,positive
1.52171992,13.5097,3.8614,0.88064,71.7924,0.22976999999999997,9.54032,0.0,0.0561,positive
1.51755118,12.99765,3.6009800000000003,1.35893,72.9908,0.5713199999999999,8.39976,0.0,0.0561,positive
1.51761952,12.81145,3.5381199999999997,1.23053,73.2372,0.57753,8.389,0.0,0.0,positive
1.51784732,13.7745,3.4887300000000003,1.2786799999999998,72.862,0.60237,8.48584,0.0,0.0,positive
1.5175284,12.57205,3.47077,1.3814,73.3884,0.60237,8.5504,0.0,0.0306,positive
1.5178701,12.73165,3.43036,1.1888,72.9516,0.621,8.75484,0.0,0.153,positive
1.52320062,13.7225,3.72221,0.51149,71.7476,0.08694,10.568,0.0,0.0816,positive
1.5229956,13.3102,3.57853,0.81965,71.9884,0.11799000000000001,10.17516,0.0,0.0153,positive
1.52101374,13.6427,4.49,1.0989200000000001,71.7812,0.0621,8.75484,0.0,0.0,positive
1.51750562,12.8181,3.55159,1.49054,72.75,0.54027,8.51812,0.0,0.0969,positive
1.52212996,14.20795,3.82099,0.46976,71.77,0.11177999999999999,9.5726,0.0,0.0,positive
1.52666318,13.9885,3.69976,0.7105100000000001,71.5684,0.01863,9.82008,0.0,0.051,positive
1.51925968,13.19715,3.33158,1.2786799999999998,72.358,0.60237,9.1422,0.0,0.0561,positive
1.52171992,13.4831,3.7401699999999996,0.8999,72.0108,0.18009,9.60488,0.0,0.0357,positive
1.51618438,13.52965,3.55159,1.53869,72.9908,0.39123,7.77568,0.0,0.0,positive
1.51761952,12.61195,3.592,1.3107799999999998,73.2876,0.57753,8.4966,0.0,0.0,positive
1.51768786,12.55875,3.5201599999999997,1.42955,73.1476,0.5713199999999999,8.539639999999999,0.0,0.0,positive
1.51796122,12.7383,3.47975,1.3493,72.9572,0.63963,8.67952,0.0,0.0,positive
1.51807512,13.4299,2.86911,1.1888,72.8396,0.55269,9.0346,0.0,0.0,positive
1.5215149,13.11735,3.57853,0.8999,72.2012,0.22976999999999997,9.82008,0.0,0.0816,positive
1.5174145,13.2703,3.6189400000000003,1.24016,73.0804,0.55269,8.0662,0.0,0.0,positive
1.51748284,12.857999999999999,3.56057,1.26905,73.2092,0.54027,8.37824,0.0,0.0867,positive
1.51736894,12.7782,3.6189400000000003,1.29152,72.7892,0.58995,8.701039999999999,0.0,0.0,positive
1.51768786,12.65185,3.56057,1.30115,73.0804,0.60858,8.69028,0.0,0.0714,positive
1.51755118,12.7117,3.42138,1.1984299999999999,73.19800000000001,0.58995,8.63648,0.0,0.0,positive
1.51768786,12.45235,2.71196,1.29152,73.702,0.5589,9.05612,0.0,0.1224,positive
1.51905466,13.6028,3.6189400000000003,1.10855,72.638,0.14282999999999998,8.75484,0.0,0.0,positive
1.51766508,13.21045,3.69078,1.29152,72.61,0.5713199999999999,8.21684,0.0,0.0,positive
1.51566044,13.29025,3.44832,1.21127,72.7388,0.5589,8.57192,0.0,0.0,positive
1.52226664,14.16805,3.81201,0.78113,71.35,0.0,9.69096,0.0,0.0,positive
1.51966972,14.7732,3.74915,0.29,72.02199999999999,0.03105,9.00232,0.0,0.0,positive
1.51777898,13.21045,2.81074,1.29152,72.9796,0.50922,9.02384,0.0,0.45899999999999996,positive
1.5219705,14.3609,3.8479300000000003,0.8902700000000001,71.3612,0.14904,9.15296,0.0,0.0,positive
1.5190091000000001,13.48975,3.47975,1.3493,71.9492,0.55269,9.00232,0.0,0.0,positive
1.515882545,13.1223375,3.419135,1.4929475,73.2963,0.319815,8.227599999999999,0.0,0.024225,negative
1.52176548,13.7491,1.01025,1.35893,72.19,0.32913000000000003,11.14356,0.0,0.0,negative
1.51511372,15.002625,0.0,2.336375,73.6096,0.0,8.3621,0.59535,0.0,negative
1.5270162699999998,11.125675000000001,0.0,0.760265,73.1448,0.0,14.82348,0.0,0.0,negative
1.5131774199999999,13.007625,0.0,3.029735,70.5912,6.21,6.94178,0.0,0.0,negative
1.519159448,13.43256,3.3755819999999996,1.469354,72.15192,0.5638679999999999,8.804336,0.0,0.09179999999999999,negative
1.51818902,13.7225,0.0,0.5596399999999999,74.4524,0.0,10.99292,0.0,0.0,negative
1.51130946,13.68925,3.2013700000000003,1.8115400000000002,72.8116,1.7574299999999998,5.43,1.1907,0.0,negative
1.51862184,14.183566666666666,2.2734366666666666,1.61359,72.47373333333333,0.0,9.386093333333333,0.0,0.0,negative
1.52474966,11.4482,0.0,1.87895,72.19,0.8073,13.241760000000001,0.0,0.1734,negative
1.51115,17.38,0.0,0.3413600000000001,75.41,0.0,6.64588,0.0,0.0,negative
1.5168848650000002,14.8613125,0.0,1.9150625,73.0566,0.0,8.5235,1.557675,0.0102,negative
1.51666276,12.857999999999999,0.0,1.8308,73.8812,0.9687600000000001,10.17516,0.0,0.0,negative
1.5163802880000001,13.36207,3.487832,1.294088,72.70184,0.582498,8.369632,0.0,0.0102,negative
1.53124196,10.73,0.0,2.1004400000000003,69.81,0.57753,13.29556,3.15,0.1428,negative
1.5151364999999999,14.00845,2.68053,3.5,69.8884,1.6829099999999997,5.87116,2.1987,0.0,negative
1.52365622,15.79065,1.83192,1.3107799999999998,70.4316,0.3105,8.61496,1.67895,0.0,negative
1.53393,12.2994,0.0,0.99941,70.1628,0.11799000000000004,16.19,0.0,0.12240000000000001,negative
1.5215149,11.02925,1.71069,1.56116,73.4388,0.57753,11.617,0.0,0.0,negative
1.5170879866666667,12.900116666666667,2.9963266666666666,1.36642,73.0524,0.5837399999999999,8.794293333333332,0.08295000000000002,0.07819999999999999,negative
1.51652608,11.94695,0.0,1.1888,75.1804,2.70135,8.927,0.0,0.0,negative
1.52408904,13.8289,2.9005400000000003,1.16954,71.1484,0.08072999999999997,10.78848,0.0,0.0,negative
1.51630967,14.2545,0.0,2.80985,72.7304,0.040364999999999984,9.31974,0.8001,0.0,negative
1.5212415400000001,14.1747,3.8299700000000003,0.7040899999999999,71.6468,0.055889999999999995,9.567219999999999,0.0,0.0,negative
1.52205023,13.409949999999998,0.0,1.4905400000000002,72.2348,0.326025,12.3702,0.0,0.0,negative
1.51830292,14.3875,0.0,1.8211700000000002,72.862,1.40967,6.47372,2.8791,0.0,negative
1.51914578,12.73165,1.84988,1.85969,72.6884,0.60237,10.089080000000001,0.0,0.0,negative
1.51994308,13.2703,0.0,1.7601799999999999,73.03,0.47196000000000005,11.315719999999999,0.0,0.0,negative
1.51299518,14.4008,1.7421200000000001,1.53869,74.5476,0.0,7.59276,0.0,0.0,negative
1.5167918466666668,13.473125,3.586761666666667,1.61145,72.41586666666666,0.648945,8.00164,0.0,0.02465,negative
1.52247166,14.85965,2.2001,2.05871,70.258,0.75762,9.755519999999999,0.0,0.0,negative
1.5277794,12.63855,0.0,0.66878,72.02199999999999,0.06209999999999999,14.403839999999999,0.0,0.0,negative
1.51408862,14.24785,3.08912,2.08118,72.2796,1.09917,7.076280000000001,0.0,0.0,negative
1.52222108,14.4274,0.0,0.99941,72.6716,0.09936,11.52016,0.0,0.0408,negative
1.52613924,13.70255,0.0,1.35893,71.238,0.19250999999999996,13.43544,0.0,0.051,negative
1.5183680057142857,13.2969,3.8896228571428573,1.284182857142857,72.41799999999999,0.5633357142857143,8.321365714285713,0.0,0.037885714285714286,negative
1.51837126,14.321,3.2597400000000003,2.21921,71.2492,1.45935,5.785080000000001,1.62855,0.0,negative
1.5163894,12.952762499999999,3.4898524999999996,1.8925925000000001,72.6814,0.6598125,8.12538,0.0,0.021675,negative
1.51572878,14.85965,3.66833,1.74092,71.8708,0.16146,7.356039999999999,0.0,0.0612,negative
1.51887242,14.99265,0.7812600000000001,1.74092,72.498,0.0,9.9492,0.0,0.0,negative
1.51818902,12.6186,2.76135,0.8292799999999999,73.8084,0.34776,9.42196,0.0,0.102,negative
1.5163894,14.90795,0.0,2.3756975000000002,73.2288,0.012419999999999987,8.81133,0.625275,0.11474999999999999,negative
1.52074038,13.665975,2.184385,1.549925,72.08359999999999,0.50922,9.71248,0.13545,0.0867,negative
1.5181753519999999,12.91785,3.653064,1.2562099999999998,72.46216,0.617274,8.821552,0.0,0.08567999999999999,negative
1.51613882,13.8821,1.77804,1.7890700000000002,73.0972,0.0,8.66876,0.75915,0.0,negative
1.5196925,12.63855,0.0,1.65104,73.7524,0.37881,11.53092,0.0,0.0,negative
1.51856489,13.6427,3.594245,0.699275,72.8256,0.11177999999999999,8.91086,0.0756,0.061200000000000004,negative
1.5163615577777778,12.952577777777778,3.5276433333333332,1.53976,73.13266666666667,0.65757,7.981315555555556,0.0,0.011899999999999994,negative
1.52725546,13.8023,3.15198,0.65915,70.5716,0.08072999999999997,11.63852,0.0,0.0,negative
1.51916856,14.1481,0.0,2.09081,72.7388,0.0,10.88532,0.0,0.0,negative
1.5156433550000001,14.1481,0.0,2.6678075,73.2946,0.07451999999999998,9.150269999999999,0.6150374999999999,0.12239999999999998,negative
1.51824597,13.67595,3.899565,1.40387,71.88480000000001,0.54027,8.26526,0.0,0.11985000000000001,negative
1.52019366,13.98185,1.3514899999999999,1.62857,71.7588,0.39123,10.56252,0.0,0.51,negative
1.51643496,12.15975,3.5201599999999997,1.3493,72.89,0.5713199999999999,8.528880000000001,0.0,0.0,negative
1.5165517075000001,13.21959375,3.57796875,1.4853237499999998,72.8053,0.58762125,8.075614999999999,0.0,0.06374999999999999,negative
1.5196925,14.5604,0.0,0.5596399999999999,73.47800000000001,0.0,11.21888,0.0,0.0,negative
1.51743728,12.19965,3.2507599999999996,1.15991,73.5508,0.621,8.89472,0.0,0.12240000000000001,negative
1.518289252,13.07346,3.62343,1.1637620000000002,72.88104,0.550206,8.498752,0.01827000000000001,0.02958,negative
1.517587628,14.48991,0.0,2.002214,73.45248,0.0,8.490144,1.60776,0.0071400000000000005,negative
1.51613882,13.922,3.5201599999999997,1.24979,72.8788,0.3726,7.93708,0.0,0.0714,negative
1.52171992,11.56125,1.8813099999999998,1.56116,72.862,0.47196000000000005,11.412560000000001,0.0,0.0,negative
1.52119598,12.97105,0.3277700000000001,1.5098,73.3884,0.13041000000000003,11.272680000000001,0.0,0.1428,negative
1.5163893999999998,12.5521,3.47975,1.86932,73.2316,0.62721,8.07696,0.0,0.45899999999999996,negative
1.52058092,12.85135,1.61191,2.1710599999999998,72.1788,0.75762,9.70172,0.2394,0.2601,negative
