@relation glass4
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}

@data
1.5196925,12.63855,0.0,1.65104,73.7524,0.37881,11.53092,0.0,0.0,positive
1.51914578,12.73165,1.84988,1.85969,72.6884,0.60237,10.089080000000001,0.0,0.0,positive
1.5151364999999999,14.00845,2.68053,3.5,69.8884,1.68291,5.87116,2.1987,0.0,positive
1.51315464,13.0176,0.0,3.04097,70.482,6.21,6.95792,0.0,0.0,positive
1.52119598,12.97105,0.32777,1.5098,73.3884,0.13041,11.272680000000001,0.0,0.1428,positive
1.5215149,11.02925,1.71069,1.56116,73.4388,0.57753,11.617,0.0,0.0,positive
1.5132002,12.99765,0.0,3.0185,70.7004,6.21,6.92564,0.0,0.0,positive
1.51666276,12.857999999999999,0.0,1.8308,73.8812,0.9687600000000001,10.17516,0.0,0.0,positive
1.523679,13.4432,0.0,1.5804200000000002,72.218,0.32292,12.24108,0.0,0.0,positive
1.52042146,13.3767,0.0,1.40066,72.2516,0.32913000000000003,12.499319999999999,0.0,0.0,positive
1.51994308,13.2703,0.0,1.7601799999999999,73.03,0.47196000000000005,11.315719999999999,0.0,0.0,positive
1.52058092,12.85135,1.61191,2.1710599999999998,72.1788,0.75762,9.70172,0.2394,0.2601,positive
1.52171992,11.56125,1.8813099999999998,1.56116,72.862,0.47196000000000005,11.412560000000001,0.0,0.0,positive
1.51720948,12.8713,3.47975,1.33004,73.0412,0.5589,8.432039999999999,0.0,0.0,negative
1.52222108,14.4274,0.0,0.99941,72.6716,0.09936,11.52016,0.0,0.0408,negative
1.51682222,14.5604,0.0,1.9784599999999999,73.2876,0.0,8.51812,1.5687,0.0357,negative
1.5266403999999998,11.22875,0.0,0.7715,73.2092,0.0,14.6836,0.0,0.0,negative
1.52210718,13.72915,3.83895,0.72014,71.7588,0.16767,9.744760000000001,0.0,0.0,negative
1.53124196,10.73,0.0,2.1004400000000003,69.81,0.57753,13.29556,3.15,0.1428,negative
1.51408862,14.24785,3.08912,2.08118,72.2796,1.09917,7.076280000000001,0.0,0.0,negative
1.51652608,11.94695,0.0,1.1888,75.1804,2.70135,8.927,0.0,0.0,negative
1.51828014,14.46065,2.24051,1.61894,72.3804,0.0,9.26056,0.0,0.0,negative
1.51609326,13.33015,3.52914,1.3396700000000001,72.6716,0.5589,8.3352,0.0,0.0,negative
1.51115,17.38,0.0,0.34136,75.41,0.0,6.64588,0.0,0.0,negative
1.5277794,12.63855,0.0,0.66878,72.02199999999999,0.0621,14.403839999999999,0.0,0.0,negative
1.51727782,14.70005,0.0,2.34119,73.282,0.0,8.94852,0.6615,0.0,negative
